Filename,Right Ascension,Declination,Catalogue Peak,Unseen,Estimated Peak,Estimation Error (95%)
1RXS_J011555.6-274428,18.98114,-27.74216,17.30,False,16.92,0.94
1RXS_J011637.7-281146,19.154420000000002,-28.19636,0.00,False,16.14,1.27
1RXS_J011746.6-244329,19.4458,-24.7258,0.00,False,17.42,0.79
1RXS_J011905.4-145906,19.76925,-14.98296,16.08,False,16.63,0.86
1RXS_J012203.6-300507,20.515,-30.085420000000003,0.00,False,17.03,0.78
1RXS_J012338.2-231100,20.90979,-23.183020000000003,17.95,False,17.06,0.93
1RXS_J013308.8-453528,23.28867,-45.59,15.65,False,16.28,1.06
1RXS_J013506.7+025558,23.779329999999998,2.9285,0.00,False,15.98,1.05
1RXS_J015308.4+751756,28.280759999999997,75.29526,15.90,False,15.81,0.81
1RXS_J015658.6-530208,29.241670000000003,-53.03333000000001,18.26,False,17.15,0.77
1RXS_J020021.0-410936,30.0875,-41.160140000000006,15.59,False,15.63,0.56
1RXS_J020413.6-333345,31.053290000000004,-33.56142,0.00,False,17.7,0.75
1RXS_J020917.6+444951,32.32137,44.82954,16.36,False,17.0,0.96
1RXS_J021206.0-255808,33.123000000000005,-25.97178,14.76,False,15.96,1.3
1RXS_J021359.9-695130,33.49958,-69.85833000000001,0.00,False,17.19,0.8
1RXS_J021439.0-433319,33.6625,-43.555279999999996,0.00,False,16.92,0.73
1RXS_J021905.8-172503,34.77293,-17.4203,16.25,False,16.45,0.92
1RXS_J022314.6-111741,35.80939,-11.29402,15.37,False,15.54,0.67
1RXS_J023428.6+804341,38.62754,80.72703,16.52,False,16.87,0.93
1RXS_J023800.5-390505,39.50264,-39.08465,15.15,False,15.77,0.66
1RXS_J023832.6-311658,39.635329999999996,-31.2828,16.31,False,16.55,0.9
1RXS_J024151.6-160339,40.46418,-16.05934,15.80,False,15.96,0.69
1RXS_J024800.1+223136,42.00042,22.52681,0.00,False,15.69,0.87
1RXS_J025923.7+030736,44.84875,3.12681,15.86,False,15.41,2.88
1RXS_J030926.2-395927,47.30424,-40.030770000000004,14.13,False,14.57,1.56
1RXS_J031036.0-501615,47.6447,-50.27531,16.08,False,16.25,0.68
1RXS_J031613.4-562545,49.05583,-56.42931,0.00,True,15.75,2.91
1RXS_J032037.9+112503,50.15846,11.414530000000001,15.76,False,16.37,1.88
1RXS_J032342.6-011131,50.93175,-1.1961700000000002,15.04,False,15.1,0.49
1RXS_J032521.8-563543,51.34802,-56.59574,16.58,False,16.59,0.98
1RXS_J032852.3-571552,52.21954,-57.2682,16.58,False,17.08,0.87
1RXS_J033208.6+822654,53.03584,82.44833,0.00,False,16.22,1.13
1RXS_J033223.2-111938,53.09695,-11.33073,13.40,True,13.49,1.03
1RXS_J033514.5-445929,53.807919999999996,-44.994440000000004,15.43,False,15.16,0.56
1RXS_J033623.3-034727,54.099180000000004,-3.79406,15.00,False,17.36,0.79
1RXS_J033832.0-570449,54.633419999999994,-57.08022,17.08,False,16.5,0.74
1RXS_J034418.2+320903,56.07584,32.15097,0.00,True,12.65,1.95
1RXS_J034424.5+343016,56.102090000000004,34.50458,0.00,False,15.4,1.24
1RXS_J035037.0-514457,57.65416,-51.749309999999994,0.00,False,15.97,1.04
1RXS_J035610.7-132833,59.04458,-13.475970000000002,0.00,False,16.51,0.95
1RXS_J035725.7-031740,59.35876,-3.29986,0.00,False,17.27,0.88
1RXS_J040111.9-535456,60.299580000000006,-53.91555,0.00,False,17.52,0.72
1RXS_J041505.7-574237,63.77375,-57.710409999999996,0.00,True,16.9,1.4
1RXS_J042012.8-601446,65.05341,-60.24618,0.00,False,16.93,1.49
1RXS_J043333.5-104220,68.38704,-10.709000000000001,15.65,False,15.91,0.9
1RXS_J043518.7-262120,68.824,-26.35619,16.14,False,16.3,0.81
1RXS_J043931.4-320045,69.88417,-32.014520000000005,15.04,False,15.54,0.71
1RXS_J044120.5-261659,70.33542,-26.28319,0.00,False,16.58,1.22
1RXS_J044127.8+150455,70.3642,15.0822,16.14,False,17.64,0.8
1RXS_J044328.4-415151,70.86833,-41.86558,0.00,False,17.11,0.86
1RXS_J045214.8+210307,73.06375,21.05106,16.31,False,16.16,0.95
1RXS_J045931.5+192242,74.88126,19.37833,0.00,True,15.88,1.37
1RXS_J050107.1+242318,75.27959,24.38847,0.00,True,15.62,1.01
1RXS_J050335.6-111504,75.8971,-11.2519,0.00,False,16.42,0.76
1RXS_J050559.9-382059,76.50695999999999,-38.34875,0.00,False,16.24,0.92
1RXS_J050727.6-334628,76.86365,-33.776509999999995,0.00,False,16.95,0.79
1RXS_J052846.9-592000,82.19185999999999,-59.33438,15.20,False,15.36,0.68
1RXS_J053629.4-334302,84.12111,-33.71735,16.14,False,15.77,0.69
1RXS_J053749.3-571844,84.45396,-57.30836,15.35,False,15.59,0.63
1RXS_J054106.1-485408,85.27541,-48.90222,0.00,False,15.86,1.99
1RXS_J054357.3-553206,85.9887,-55.5356,16.69,False,16.64,0.82
